KEGG_ID,KEGG_redox_pair,category,ORP_exp,E0_exp_MSpH0_mM,ExpErr,double_reduction,remove
C00026 + C00014 = C00025 + C00001,C00026 = C00025,3,-229,285.9856957,-3.163723016,FALSE,FALSE
C00022 + C00014 = C00133 + C00001,C00022 = C00133,3,-228,276.3858602,-6.531418992,FALSE,FALSE
C01179 + C00014 = C00082 + C00001,C01179 = C00082,3,-227,264.1007059,-11.29895708,FALSE,FALSE
C04462 + C00014 = C04421 + C00001,C04462 = C04421,3,-227,314.7047754,-15.66281325,FALSE,FALSE
C00250 + C00014 = C00534 + C00001,C00250 = C00534,3,-226,275.1143342,-15.84470921,FALSE,FALSE
C05665 + C00014 = C00986 + C00001,C05665 = C00986,3,-217,286.0758353,-15.84470921,FALSE,FALSE
C03167 + C00014 = C03557 + C00001,C03167 = C03557 ,3,-214,300.0182766,-15.84470921,FALSE,FALSE
C00036 + C00014 = C00049 + C00001,C00036 = C00049,3,-214,336.3605328,-3.984220251,FALSE,FALSE
C00168 + C00014 = C00065 + C00001,C00168 = C00065,3,-208,294.3207366,-5.135057669,FALSE,FALSE
C00232 + C00014 = C00334 + C00001,C00232 = C00334,3,-196,334.403626,-8.296854054,FALSE,FALSE
C00048 + C00014 = C00037 + C00001,C00048 = C00037,3,-186,323.7537985,-8.597616542,FALSE,FALSE
C03232 + C00014 = C01005 + C00001,C03232 = C01005,3,-171,355.6178837,-3.711392773,FALSE,FALSE
C00497 = C00042 + C00001,C00497 = C00042 + C00001,4,-72,376.1560116,-23.76415311,FALSE,FALSE
C80029 = C02357 + C00001,C80029 = C02357 + C00001,4,-71,365.1448285,-22.0806954,FALSE,TRUE
C06473 = C00204 + C00001,C06473 = C00204 + C00001,4,-70,359.0534036,-24.24984399,FALSE,FALSE
C80029 = C02370 + C00001,C80029 = C02370 + C00001,4,-62,402.9939853,-22.0806954,FALSE,TRUE
C04348 = C00091 + C00001,C04348 = C00091 + C00001,4,-49,386.0879488,-22.63365301,FALSE,TRUE
C00160 = C00033 + C00001,C00160 = C00033 + C00001,4,-38,413.6086333,-10.12746231,FALSE,FALSE
C01089 = C00246 + C00001,C01089 = C00246 + C00001,4,-33,403.2904627,-19.40635475,FALSE,FALSE
C01127 = C00026 + C00001,C01127 = C00026 + C00001,4,-33,411.2959562,-11.88785125,FALSE,FALSE
C00082 = C00079 + C00001,C00082 = C00079 + C00001,4,-32,403.2736319,-22.0806954,FALSE,FALSE
C01179 = C00166 + C00001,C01179 = C00166 + C00001,4,-30,404.3832412,-26.88627317,FALSE,FALSE
C80029 = C80014 + C00001,C80029 = C80014 + C00001,4,-29,431.6544697,-22.0806954,FALSE,TRUE
C00149 = C00042 + C00001,C00149 = C00042 + C00001,4,-24,424.0947602,-10.72446329,FALSE,FALSE
C00258 = C00256 + C00001,C00258 = C00256 + C00001,4,-8,424.5654673,-12.207225,FALSE,FALSE
C00116 = C05979 + C00001 + C00001,C00116 = C05979 + C00001 + C00001,4,-8,413.7029485,-9.835123871,TRUE,FALSE
C00065 = C00041 + C00001,C00065 = C00041 + C00001,4,10,445.0170134,-6.025188473,FALSE,FALSE
C00116 = C01845 + C00001 + C00001,C00116 = C01845 + C00001 + C00001,4,15,436.565358,-8.32248378,TRUE,FALSE
C05984 = C00246 + C00001,C05984 = C00246 + C00001,4,19,467.7546053,-22.0806954,FALSE,FALSE
C00168 = C00022 + C00001,C00168 = C00022 + C00001,4,31,463.1581118,-5.83101144,FALSE,FALSE
C00258 = C01013 + C00001,C00258 = C01013 + C00001,4,45,489.8081278,-15.97339942,FALSE,FALSE
C00117 = C00673 + C00001,C00117 = C00673 + C00001,4,51,473.526892,-10.88262114,FALSE,FALSE
C00184 = C00207 + C00001 + C00001,C00184 = C00207 + C00001 + C00001,4,59,480.8670447,-8.681471416,TRUE,FALSE
C00132 = C01438 + C00001,C00132 = C01438 + C00001,4,85,506.9414044,-22.0806954,FALSE,FALSE
C01146 = C00222 + C00001,C01146 = C00222 + C00001,4,94,536.9048526,-23.85167198,FALSE,FALSE
