KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00217,N[C@H](CCC(=O)O)C(=O)O,58,5,True,[NH3+][C@H](CCC(O)=O)C(O)=O,1,OC(=O)CC[C@H](C(=O)O)[NH3+],1.0,-545.43532960126,-545.22267655,69.836
C00250,Cc1ncc(CO)c(C=O)c1O,64,8,True,Cc1[nH+]cc(CO)c(C=O)c1[O-],0,O=Cc1c(CO)cnc(c1O)C,0.0,-583.364357988772,-583.12689235,75.596
C00556,OCc1ccccc1,42,7,True,OCc1ccccc1,0,OCc1ccccc1,0.0,-342.361837440361,-342.24766855,60.668
C02043,O=C(O)C(O)Cc1c[nH]c2ccccc12,78,11,True,OC(Cc1c[nH]c2ccccc12)C(O)=O,0,OC(=O)C(Cc1c[nH]c2c1cccc2)O,0.0,-697.4790541437959,-697.20704066,87.696
C00318,C[N+](C)(C)C[C@H](O)CC(=O)[O-],66,7,True,C[N+](C)(C)C[C@H](O)CC(O)=O,1,O[C@@H](C[N+](C)(C)C)CC(=O)[O-],0.0,-549.763107008716,-549.56678384,82.34
C00810,CC(=O)[C@@H](C)O,36,4,True,C[C@@H](O)C(C)=O,0,CC(=O)[C@H](O)C,0.0,-303.877933523783,-303.77485929,58.268
C00644,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,98,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,0.0,-1242.973142154141,-1242.72355938,90.324
C00186,C[C@H](O)C(=O)O,36,3,True,C[C@H](O)C(O)=O,0,OC(=O)[C@@H](O)C,0.0,-339.480493204632,-339.36140252,55.83600000000001
C00469,CCO,20,2,True,CCO,0,CCO,0.0,-153.092007186659,-153.05590983,53.444
C02636,C[N+](C)(C)CC(=O)CC(=O)O,64,7,True,C[N+](C)(C)CC(=O)CC(O)=O,1,O=C(C[N+](C)(C)C)CC(=O)O,1.0,-548.589556828438,-548.36749596,77.77199999999998
C00956,N[C@@H](CCCC(=O)O)C(=O)O,64,6,True,[NH3+][C@@H](CCCC(O)=O)C(O)=O,1,OC(=O)CCC[C@@H](C(=O)O)[NH3+],1.0,-584.214132040603,-583.98634627,72.4
C01507,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0,OC[C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-680.088994450893,-679.90490031,79.48
C00577,O=C[C@H](O)CO,36,3,True,OC[C@@H](O)C=O,0,O[C@@H](C=O)CO,0.0,-339.43929052157,-339.32303745,66.42
C03351,OCc1cccc(O)c1,48,7,True,OCc1cccc(O)c1,0,OCc1cccc(c1)O,0.0,-416.747739730793,-416.60322499,63.488
C04462,O=C(O)CCC(=O)N[C@@H](CCCC(=O)C(=O)O)C(=O)O,112,11,True,OC(=O)CCC(=O)N[C@@H](CCCC(=O)C(O)=O)C(O)=O,0,O=C(N[C@H](C(=O)O)CCCC(=O)C(=O)O)CCC(=O)O,0.0,-1071.707257980115,-1071.25599372,100.844
C00058,O=CO,18,1,True,OC=O,0,OC=O,0.0,-187.52550200035301,-187.44354457,48.124
C01146,O=CC(O)C(=O)O,40,3,True,OC(C=O)C(O)=O,0,O=CC(C(=O)O)O,0.0,-412.668803947434,-412.49903916,54.70399999999999
C00116,OCC(O)CO,38,3,True,OCC(O)CO,0,OCC(CO)O,0.0,-340.617636214934,-340.52924757,52.988
C00092,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,96,6,True,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,0,OC1O[C@H](COP(=O)(O)O)[C@H]([C@@H]([C@H]1O)O)O,0.0,-1241.826650119934,-1241.56475293,94.86
C05665,NCCC=O,30,3,True,[NH3+]CCC=O,1,C(C=O)C[NH3+],1.0,-245.853413806492,-245.76603216,52.428
C00247,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,0,OCC1(O)OC[C@@H]([C@H]([C@@H]1O)O)O,0.0,-678.944612714582,-678.74751885,72.852
C00280,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,114,19,True,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,0,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,0.0,-878.7625347875861,-878.42765113,139.908
C00334,NCCCC(=O)O,42,4,True,[NH3+]CCCC(O)=O,1,[NH3+]CCCC(=O)O,1.0,-359.04296919479106,-358.91569959,60.43600000000001
C00309,OCC1(O)OC[C@@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@@H](O)[C@H]1O,0,OCC1(O)OC[C@H]([C@H]1O)O,0.0,-565.7862021382599,-565.62276798,87.596
C00795,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,72,6,True,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,0,OCC1(O)OC[C@H]([C@@H]([C@@H]1O)O)O,0.0,-678.9437490657319,-678.74498145,103.976
C00001,O,8,0,True,O,0,O,0.0,-75.521737821009,-75.51040235,48.648
C03943,C[C@H](N)C[C@@H](N)C(=O)O,54,5,True,C[C@H]([NH3+])C[C@@H]([NH3+])C(O)=O,2,C[C@H]([NH3+])C[C@@H]([NH3+])C(=O)O,2.0,-452.911697517258,-452.83126902,62.476000000000006
C00168,O=C(O)C(=O)CO,40,3,True,OCC(=O)C(O)=O,0,OCC(=O)C(=O)O,0.0,-412.669234349467,-412.50224964,55.924
C00379,OC[C@H](O)[C@@H](O)[C@H](O)CO,62,5,True,OC[C@H](O)[C@@H](O)[C@H](O)CO,0,OC[C@H]([C@@H]([C@H](CO)O)O)O,0.0,-566.93150794499,-566.77918486,64.032
C00345,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,102,6,True,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,O[C@@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)COP(=O)(O)O,0.0,-1316.194799605329,-1315.89420035,85.74
C00522,CC(C)(CO)[C@@H](O)C(=O)O,60,6,True,CC(C)(CO)[C@@H](O)C(O)=O,0,OCC([C@H](C(=O)O)O)(C)C,0.0,-530.214918620661,-530.03855402,66.16
C01545,CCCCCCCC=O,54,8,True,CCCCCCCC=O,0,CCCCCCCC=O,0.0,-384.645801174526,-384.52072753,58.832
C00065,N[C@@H](CO)C(=O)O,42,3,True,[NH3+][C@@H](CO)C(O)=O,1,OC[C@@H](C(=O)O)[NH3+],1.0,-394.615882532919,-394.47553003,52.812
C00497,O=C(O)C[C@@H](O)C(=O)O,52,4,True,O[C@H](CC(O)=O)C(O)=O,0,OC(=O)C[C@H](C(=O)O)O,0.0,-525.871969513532,-525.66644376,58.432
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC([C@H]([C@@H]1O)O)(O)CO,0.0,-678.946124628142,-678.74922247,69.212
C00986,NCCCN,32,3,True,[NH3+]CCC[NH3+],2,[NH3+]CCC[NH3+],2.0,-227.79334374523103,-227.73752529,54.352
C03341,CC(=O)C[C@@H](N)C(=O)O,52,5,True,CC(=O)C[C@@H]([NH3+])C(O)=O,1,CC(=O)C[C@H](C(=O)O)[NH3+],1.0,-471.02844193132006,-470.84037484,66.34
C00331,O=C(O)C(=O)Cc1c[nH]c2ccccc12,76,11,True,OC(=O)C(=O)Cc1c[nH]c2ccccc12,0,OC(=O)C(=O)Cc1c[nH]c2c1cccc2,0.0,-696.3059823532269,-696.01126037,77.452
C00296,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1,76,7,True,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,0,O[C@@H]1[C@H](O)C[C@@](C[C@H]1O)(O)C(=O)O,0.0,-716.605565394216,-716.37037703,83.616
C01186,C[C@H](N)C[C@H](N)CC(=O)O,60,6,True,C[C@H]([NH3+])C[C@H]([NH3+])CC(O)=O,2,OC(=O)C[C@H](C[C@@H]([NH3+])C)[NH3+],2.0,-491.72677390380403,-491.55843301,72.488
C00166,O=C(O)C(=O)Cc1ccccc1,62,9,True,OC(=O)C(=O)Cc1ccccc1,0,O=C(C(=O)O)Cc1ccccc1,0.0,-566.371710764366,-566.13635507,72.932
C00184,O=C(CO)CO,36,3,True,OCC(=O)CO,0,OCC(=O)CO,0.0,-339.44778943304,-339.33395676,61.38399999999999
C00025,N[C@@H](CCC(=O)O)C(=O)O,58,5,True,[NH3+][C@@H](CCC(O)=O)C(O)=O,1,OC(=O)CC[C@@H](C(=O)O)[NH3+],1.0,-545.426118798248,-545.20924736,62.18
C01267,O=C(COP(=O)(O)O)Cc1c[nH]cn1,78,6,True,OP(O)(=O)OCC(=O)Cc1c[nH]c[nH+]1,1,O=C(Cc1c[nH]c[nH+]1)COP(=O)(O)O,1.0,-1050.650273973037,-1050.38888283,73.28
C00273,O=C(CO)[C@@H](O)[C@H](O)C(=O)CO,70,6,True,OCC(=O)[C@@H](O)[C@H](O)C(=O)CO,0,OCC(=O)[C@H]([C@@H](C(=O)CO)O)O,0.0,-677.747071350527,-677.51149483,66.188
C03167,O=CCP(=O)(O)O,42,2,True,OP(O)(=O)CC=O,0,O=CCP(=O)(O)O,0.0,-714.755482700352,-714.63420766,69.5
C00111,O=C(CO)COP(=O)(O)O,60,3,True,OCC(=O)COP(O)(O)=O,0,OCC(=O)COP(=O)(O)O,0.0,-902.33299130019,-902.15514471,69.188
C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,84,5,True,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,0,O[C@H]1C(O)O[C@@H]([C@H]1O)COP(=O)(O)O,0.0,-1128.67552157361,-1128.44846807,80.328
C00441,N[C@@H](CC=O)C(=O)O,46,4,True,[NH3+][C@@H](CC=O)C(O)=O,1,O=CC[C@@H](C(=O)O)[NH3+],1.0,-432.235417268174,-432.05898927,62.184
C00474,OC[C@H](O)[C@H](O)[C@H](O)CO,62,5,True,OC[C@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@H](CO)O)O)O,0.0,-566.928112343064,-566.77440965,70.704
C00349,CC(C=O)C(=O)O,40,4,True,CC(C=O)C(O)=O,0,O=CC(C(=O)O)C,0.0,-377.097848896968,-376.93881692,57.84
C00673,O=P(O)(O)OC[C@H]1OC(O)C[C@@H]1O,78,5,True,OC1C[C@H](O)[C@@H](COP(O)(O)=O)O1,0,OC1C[C@@H]([C@H](O1)COP(=O)(O)O)O,0.0,-1054.305023469514,-1054.09827771,87.68
C00246,CCCC(=O)O,36,4,True,CCCC(O)=O,0,CCCC(=O)O,0.0,-303.900579540843,-303.79023231,57.964
C06142,CCCCO,32,4,True,CCCCO,0,CCCCO,0.0,-230.667206847826,-230.61021321,58.256
C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,70,6,True,OC[C@@H](O)[C@@H](O)CC(=O)C(O)=O,0,OC[C@H]([C@H](CC(=O)C(=O)O)O)O,0.0,-677.779169286158,-677.53745096,75.732
C00261,O=Cc1ccccc1,40,7,True,O=Cc1ccccc1,0,O=Cc1ccccc1,0.0,-341.196929736986,-341.05741018,56.11600000000001
C04421,N[C@@H](CCC[C@H](NC(=O)CCC(=O)O)C(=O)O)C(=O)O,114,11,True,[NH3+][C@@H](CCC[C@H](NC(=O)CCC(O)=O)C(O)=O)C(O)=O,1,O=C([NH+][C@H](C(=O)O)CCC[C@@H](C(=O)O)[NH3+])CCC(=O)O,2.0,-1053.644703193116,-1053.22085677,105.804
C00037,NCC(=O)O,30,2,True,[NH3+]CC(O)=O,1,OC(=O)C[NH3+],1.0,-281.453006060477,-281.34154736,52.288
C00149,O=C(O)C[C@H](O)C(=O)O,52,4,True,O[C@@H](CC(O)=O)C(O)=O,0,OC(=O)C[C@@H](C(=O)O)O,0.0,-525.870266649731,-525.66483807,58.072
C01412,CCCC=O,30,4,True,CCCC=O,0,CCCC=O,0.0,-229.49617358118599,-229.41293540000004,50.464
C00048,O=CC(=O)O,28,2,True,OC(=O)C=O,0,O=CC(=O)O,0.0,-299.50701586437,-299.36997578,50.5
C00099,NCCC(=O)O,36,3,True,[NH3+]CCC(O)=O,1,OC(=O)CC[NH3+],1.0,-320.258156027261,-320.1427664,52.332
