KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C04181,CC(C)(O)C(=O)C(=O)O,52,5,False,CC(C)(O)C(=O)C(O)=O,0,OC(=O)C(=O)C(O)(C)C,0.0,-490.227078597326,-490.05434698,18.466
C06813,O=[N+]([O-])c1ccccc1,46,6,False,[O-][N+](=O)c1ccccc1,0,[O-][N+](=O)c1ccccc1,0.0,-431.35327850472197,-431.16499383,16.78
C01019,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,66,6,False,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0,O[C@@H]1[C@H](C)OC([C@H]([C@@H]1O)O)O,0.0,-604.571725956088,-604.38606451,25.429
C01015,O=C(O)[C@@H]1C[C@H](O)CN1,52,5,False,O[C@@H]1C[NH2+][C@@H](C1)C(O)=O,1,O[C@@H]1C[NH2+][C@@H](C1)C(=O)O,1.0,-471.007046422365,-470.84768025,18.76
C00067,C=O,12,1,True,C=O,0,C=O,0.0,-113.120073549678,-113.07065339,8.501
C19322,Nc1ccc([N+](=O)[O-])cc1O,58,6,False,[NH3+]c1ccc(cc1O)[N+]([O-])=O,1,[O-][N+](=O)c1ccc(c(c1)O)N,0.0,-560.855533728148,-560.62238846,21.686
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-752.109477557232,-751.85858973,27.37
C17211,CSCCCC(=O)C(=O)O,58,6,False,CSCCCC(=O)C(O)=O,0,CSCCCC(=O)C(=O)O,0.0,-850.2219340957561,-850.06075195,24.571
C06032,C[C@H](C(=O)O)[C@@H](O)C(=O)O,58,5,False,C[C@@H]([C@@H](O)C(O)=O)C(O)=O,0,OC(=O)[C@@H]([C@@H](C(=O)O)C)O,0.0,-564.627498215616,-564.4316282000002,18.963
C00084,CC=O,18,2,True,CC=O,0,CC=O,0.0,-151.914996573766,-151.85583614,8.447000000000001
C05527,O=C(O)C(=O)CS(=O)O,52,3,False,OC(=O)C(=O)CS(O)=O,0,OS(=O)CC(=O)C(=O)O,0.0,-882.522200461606,-882.34903185,20.588
C16473,Oc1ccc(F)cc1O,48,6,False,Oc1ccc(F)cc1O,0,Fc1ccc(c(c1)O)O,0.0,-476.203091715434,-476.04143004,16.007
C00937,C[C@@H](O)C=O,30,3,False,C[C@@H](O)C=O,0,C[C@H](C=O)O,0.0,-265.0673698999089,-264.9745784,12.257
C01188,CC(CO)C(=O)O,42,4,True,CC(CO)C(O)=O,0,OCC(C(=O)O)C,0.0,-378.254333715692,-378.13306884,14.812
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,True,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H](C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1241.754685374808,-1241.47421026,43.19300000000001
C00407,CC[C@H](C)[C@H](N)C(=O)O,54,6,False,CC[C@H](C)[C@H]([NH3+])C(O)=O,1,CC[C@@H]([C@@H](C(=O)O)[NH3+])C,1.0,-436.59094232366,-436.451585,22.639
C00854,OC1CCCCC1,42,6,True,OC1CCCCC1,0,OC1CCCCC1,0.0,-307.092694909001,-307.00912559,18.005
C15488,O=CCF,24,2,False,FCC=O,0,FCC=O,0.0,-250.146651341614,-250.06195585,9.879
C08286,N=C(N)NCC[C@@H](O)C[C@H](N)C(=O)O,82,7,False,NC(=[NH2+])NCC[C@@H](O)C[C@H]([NH3+])C(O)=O,2,O[C@@H](C[C@@H](C(=O)O)[NH3+])CC[NH+][C+](=N)N,3.0,-713.061259363713,-712.82641021,33.646
C01719,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,72,6,False,OC[C@@H]1OC(O)(CO)[C@H](O)[C@H]1O,0,OC[C@@H]1OC([C@@H]([C@H]1O)O)(O)CO,0.0,-678.925107638106,-678.71454636,27.392
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,True,COc1cc(\\C=C\\C=O)ccc1O,0,O=C/C=C/c1ccc(c(c1)OC)O,0.0,-605.11011691082,-604.88429481,24.29
C00682,O=C/C=C\C=C(\O)C(=O)O,54,6,False,OC(=O)C(\\O)=C/C=C\\C=O,0,O=C/C=C\C=C(/C(=O)O)\O,0.0,-526.635002833392,-526.43943093,15.839
C12849,O=S(=O)(O)c1ccc(O)cc1,60,6,False,Oc1ccc(cc1)S([O-])(=O)=O,-1,Oc1ccc(cc1)S(=O)(=O)[O-],-1.0,-921.665656918702,-921.4804325,21.129
C04575,O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO,74,6,False,OC[C@H](O)[C@@H](O)C(=O)C(=O)C(O)=O,0,OC[C@@H]([C@H](C(=O)C(=O)C(=O)O)O)O,0.0,-750.9230740624748,-750.65476843,24.439
C02287,O=C(O)C(O)C(=O)O,46,3,False,OC(C(O)=O)C(O)=O,0,OC(C(=O)O)C(=O)O,0.0,-487.037464201676,-486.86258398,14.372
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,True,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,OCC1(O)O[C@@H]([C@H]([C@@H]1O)O)COP(=O)(O)O,0.0,-1241.780955622524,-1241.50831626,37.715
C00805,O=C(O)c1ccccc1O,52,7,False,OC(=O)c1ccccc1O,0,OC(=O)c1ccccc1O,0.0,-489.961682608819,-489.78166961,16.486
C02656,O=C(O)CCCCCC(=O)O,64,7,False,OC(=O)CCCCCC(O)=O,0,OC(=O)CCCCCC(=O)O,0.0,-567.8378432298359,-567.64641571,21.192
C01012,CC1(C)COC(=O)[C@@H]1O,52,6,False,CC1(C)COC(=O)[C@@H]1O,0,O[C@H]1C(=O)OCC1(C)C,0.0,-454.675001950287,-454.51398668,18.761
C01053,CC(C)(C=O)[C@@H](O)C(=O)O,58,6,False,CC(C)(C=O)[C@@H](O)C(O)=O,0,O=CC([C@H](C(=O)O)O)(C)C,0.0,-529.019327250904,-528.82846219,20.047
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,72,6,False,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-678.93555264308,-678.72681696,26.202
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,True,OC(=O)C(=O)COP(O)(O)=O,0,OC(=O)C(=O)COP(=O)(O)O,0.0,-975.4952800245552,-975.28351896,20.243
C10920,OCC1CO1,30,3,False,OCC1CO1,0,OCC1CO1,0.0,-265.016509329379,-264.93421182,11.815
C02236,O=C(O)c1ccc(S(=O)(=O)O)cc1,70,7,False,OC(=O)c1ccc(cc1)S([O-])(=O)=O,-1,OC(=O)c1ccc(cc1)S(=O)(=O)[O-],-1.0,-1033.672177112465,-1033.43660375,22.489
