KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00064,NC(=O)CC[C@H](N)C(=O)O,58,5,True,NC(=O)CC[C@H]([NH3+])C(O)=O,1,NC(=O)CC[C@@H](C(=O)O)[NH3+],1.0,-531.080868578511,-531.10515413,175.95
C00041,C[C@H](N)C(=O)O,36,3,True,C[C@H]([NH3+])C(O)=O,1,C[C@H]([NH3+])C(=O)O,1.0,-323.51086267883596,-323.52563884,68.393
C12314,O=C1OCCCCC1O,52,6,False,OC1CCCCOC1=O,0,O=C1OCCCCC1O,0.0,-459.351548520617,-459.38234719,385.036
C01924,N=C(N)NCCCC[C@H](N)C(=O)O,76,7,False,NC(=[NH2+])NCCCC[C@H]([NH3+])C(O)=O,2,N[C+](=N)[NH+]CCCC[C@@H](C(=O)O)[NH3+],3.0,-645.383896793693,-645.41814944,666.128
C12317,C[C@@H](O)[C@@H](N)C(=O)O,48,4,False,C[C@@H](O)[C@@H]([NH3+])C(O)=O,1,C[C@H]([C@H](C(=O)O)[NH3+])O,1.0,-437.79496758067,-437.81890212,304.224
C01933,CCCC[C@H](N)C(=O)O,54,6,False,CCCC[C@H]([NH3+])C(O)=O,1,CCCC[C@H]([NH3+])C(=O)O,1.0,-441.18980395767096,-441.21233129,386.844
C00026,O=C(O)CCC(=O)C(=O)O,56,5,True,OC(=O)CCC(=O)C(O)=O,0,OC(=O)CCC(=O)C(=O)O,0.0,-569.066414356669,-569.0874866,154.925
C06419,N[C@H](Cc1c[nH]cn1)C(=O)O,60,6,False,[NH3+][C@H](Cc1c[nH]c[nH+]1)C(O)=O,2,OC(=O)[C@H]([NH3+])Cc1c[nH]c[nH+]1,2.0,-548.496379129058,-548.51978858,526.064
C06104,O=C(O)CCCCC(=O)O,58,6,False,OC(=O)CCCCC(O)=O,0,OC(=O)CCCCC(=O)O,0.0,-534.4514429741,-534.47685497,351.176
C01854,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](O)[C@@H]1O,72,6,False,[NH3+][C@H]1[C@H](O)[C@@H]([NH3+])[C@H](O)[C@@H](O)[C@@H]1O,2,O[C@@H]1[C@@H](O)[C@H](O)[C@H]([C@@H]([C@H]1[NH3+])O)[NH3+],2.0,-647.005108289791,-647.05888193,673.372
C01888,CC(=O)CN,30,3,False,CC(=O)C[NH3+],1,CC(=O)C[NH3+],1.0,-248.42783513888,-248.43820781,153.72799999999995
C00668,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,96,6,False,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,0,O[C@H]1O[C@H](COP(=O)(O)O)[C@H]([C@@H]([C@H]1O)O)O,0.0,-1252.583680331014,-1252.65878682,977.016
C00535,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,116,19,True,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,0,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,0.0,-889.4390248380611,-889.48519696,1651.838
C02372,Nc1ccc(O)cc1,42,6,False,[NH3+]c1ccc(O)cc1,1,Nc1ccc(cc1)O,0.0,-362.489157060677,-362.49858168,262.616
C00414,O=C1CCCCC1,40,6,True,O=C1CCCCC1,0,O=C1CCCCC1,0.0,-309.22841098412897,-309.24515788,107.134
C03273,O=CCCCC(=O)O,46,5,False,OC(=O)CCCC=O,0,O=CCCCC(=O)O,0.0,-420.12777040573997,-420.14883299,244.216
C11437,CC(=O)[C@@H](O)[C@H](O)COP(=O)(O)O,78,5,False,CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,0,O[C@@H]([C@@H](C(=O)C)O)COP(=O)(O)O,0.0,-1063.224033516249,-1063.2688897,622.132
C01165,N[C@@H](CCC=O)C(=O)O,52,5,False,[NH3+][C@@H](CCC=O)C(O)=O,1,O=CCC[C@@H](C(=O)O)[NH3+],1.0,-475.80950410134005,-475.83323306,324.296
C15987,CNCCCC(=O)O,48,5,False,C[NH2+]CCCC(O)=O,1,C[NH2+]CCCC(=O)O,1.0,-401.961064813024,-401.9853815,296.388
C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O,74,6,False,OC(=O)CC(O)(CC(O)=O)C(O)=O,0,OC(=O)C(CC(=O)O)(CC(=O)O)O,0.0,-758.4518210307989,-758.48352292,637.432
C03269,O=C[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,70,6,False,OC1O[C@H](C=O)[C@H](O)[C@H](O)[C@H]1O,0,O=C[C@H]1OC(O)[C@@H]([C@H]([C@H]1O)O)O,0.0,-684.524131913968,-684.58037333,504.2
C16390,O=C(O)CCC(CO)C(=O)O,64,6,False,OCC(CCC(O)=O)C(O)=O,0,OCC(C(=O)O)CCC(=O)O,0.0,-609.505898639797,-609.53912224,419.504
C02670,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,68,6,False,O[C@@H](C=O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,0,O=C[C@@H]([C@H]1OC(=O)[C@H]([C@H]1O)O)O,0.0,-683.3251335069181,-683.36809776,593.936
C03741,N[C@H](C=O)CCC(=O)O,52,5,False,[NH3+][C@@H](CCC(O)=O)C=O,1,O=C[C@H](CCC(=O)O)[NH3+],1.0,-475.81160311636495,-475.83532794,322.3640000000001
