rxn,category
O=C1CCc2ccccc21>>OC1CCc2ccccc21,2
CC(=O)[C@H](C)O>>CC(N)[C@H](C)O,3
O=Cc1ccc(CO)cc1O>>NCc1ccc(CO)cc1O,3
CC/C=C\CC/C=C/C=O>>CC/C=C\CCC=CCO,2
COc1cc(C=O)ccc1O>>COc1cc(CO)ccc1O,2
CCCC(=O)CC(O)CCC>>CCCC(N)CC(O)CCC,3
O=CCCc1ccc(O)cc1>>NCCCc1ccc(O)cc1,3
O=C1C=CCOC1(O)CO>>NC1C=CCOC1(O)CO,3
NCCCCC(=O)C(=O)O>>NCCCCC(N)C(=O)O,3
CC(=O)CC1CCCCN1C>>CC(O)CC1CCCCN1C,2
O=CCCC(=O)C(=O)O>>O=CCCC(O)C(=O)O,2
O=CC(=O)CCC(=O)O>>O=CC(O)CCC(=O)O,2
CC(=O)C(N)C(=O)O>>CC(N)C(N)C(=O)O,3
C=C(C=O)c1ccccc1>>C=C(CO)c1ccccc1,2
NC1C=CC(=O)C=C1O>>NC1C=CC(O)C=C1O,2
O=CCCc1ccc(O)cc1>>OCCCc1ccc(O)cc1,2
CC(C)C(=O)C(=O)O>>CC(C)C(N)C(=O)O,3
CC(=O)/C=C\C(=O)O>>CC(N)C=CC(=O)O,3
O=CCCCCCCCC(=O)O>>O=C(O)CCCCCCCCO,2
O=CC(=O)CCC(=O)O>>NCC(=O)CCC(=O)O,3
O=CCCC(=O)C(=O)O>>NC(CCC=O)C(=O)O,3
CC(=O)/C=C\C(=O)O>>CC(O)C=CC(=O)O,2
COc1cc(C=O)ccc1O>>COc1cc(CN)ccc1O,3
O=CCCCCCCCC(=O)O>>NCCCCCCCCC(=O)O,3
CC(C)C(=O)C(=O)O>>CC(C)C(O)C(=O)O,2
O=CCCC(=O)C(=O)O>>O=C(O)C(=O)CCCO,2
CCCC(=O)CC(N)CCC>>CCCC(N)CC(N)CCC,3
O=C1C=CC(=O)C=C1>>O=C1C=CC(O)C=C1,2
O=C1C=CC(O)C=C1O>>NC1C=CC(O)C=C1O,3
CC/C=C\CC/C=C/C=O>>CC/C=C\CCC=CCN,3
O=CC(=O)CCC(=O)O>>NC(C=O)CCC(=O)O,3
O=C1C=CCOC1(O)CO>>OCC1(O)OCC=CC1O,2
CC(=O)[C@@H](C)O>>CC(O)[C@@H](C)O,2
O=CC(=O)CCC(=O)O>>O=C(O)CCC(=O)CO,2
O=C1C=CC(=O)C=C1>>NC1C=CC(=O)C=C1,3
CCCC(=O)CC(O)CCC>>CCCC(O)CC(O)CCC,2
CC(=O)CC1CCCCN1C>>CC(N)CC1CCCCN1C,3
CC(=O)C(N)C(=O)O>>CC(O)C(N)C(=O)O,2
CC(=O)[C@@H](C)O>>CC(N)[C@@H](C)O,3
O=C1C=CC(O)C=C1O>>OC1=CC(O)C=CC1O,2
C=C(C=O)c1ccccc1>>C=C(CN)c1ccccc1,3
NCCCCC(=O)C(=O)O>>NCCCCC(O)C(=O)O,2
CCCC(=O)CC(N)CCC>>CCCC(N)CC(O)CCC,2
O=CCCC(=O)C(=O)O>>NCCCC(=O)C(=O)O,3
CC(O)CC(=O)C(=O)O>>CC(O)CC(O)C(=O)O,2
CCCCCCCCCC(=O)CCN>>CCCCCCCCCC(N)CCN,3
O=C1Cc2ccccc2C1CO>>NC1Cc2ccccc2C1CO,3
NC(CCC=O)c1cccnc1>>NC(CCCO)c1cccnc1,2
O=C1C=C(O)CC(O)C1>>OC1=CC(O)CC(O)C1,2
NC1c2ccccc2CC1C=O>>NCC1Cc2ccccc2C1N,3
O=C(CO)[C@H](O)CO>>NC(CO)[C@H](O)CO,3
O=C1C=C(O)CC(O)C1>>NC1C=C(O)CC(O)C1,3
O=Cc1ccccc1C(=O)O>>NCc1ccccc1C(=O)O,3
O=C1C=CC(O)C(O)=C1>>OC1=CC(O)C=CC1O,2
O=CCCCCCCCCC(=O)O>>NCCCCCCCCCC(=O)O,3
CCCCCCCCCC(N)CC=O>>CCCCCCCCCC(N)CCN,3
O=CCCCCCCCCC(=O)O>>O=C(O)CCCCCCCCCO,2
O=Cc1ccc2ccccc2c1>>OCc1ccc2ccccc2c1,2
CC(C)CC(=O)C(=O)O>>CC(C)CC(N)C(=O)O,3
O=Cc1ccc2ccccc2c1>>NCc1ccc2ccccc2c1,3
CCCCCCCCCC(=O)CCN>>CCCCCCCCCC(O)CCN,2
O=C(CCCO)c1cccnc1>>OCCCC(O)c1cccnc1,2
O=Cc1cccc2ccccc12>>NCc1cccc2ccccc12,3
O=Cc1ccc(O)c(O)c1>>OCc1ccc(O)c(O)c1,2
COc1cc(CC=O)ccc1O>>COc1cc(CCN)ccc1O,3
NC(CCC=O)c1cccnc1>>NCCCC(N)c1cccnc1,3
C[N+](C)(C)CCCC=O>>C[N+](C)(C)CCCCO,2
NCCCC(=O)c1cccnc1>>NCCCC(O)c1cccnc1,2
O=Cc1ccc(O)c(O)c1>>NCc1ccc(O)c(O)c1,3
CC(O)CC(=O)C(=O)O>>CC(O)CC(N)C(=O)O,3
CC1(C)COC(=O)C1=O>>CC1(C)COC(=O)C1O,2
NCC1Cc2ccccc2C1=O>>NCC1Cc2ccccc2C1O,2
O=CC1Cc2ccccc2C1O>>NCC1Cc2ccccc2C1O,3
O=Cc1cccc2ccccc12>>OCc1cccc2ccccc12,2
CC(=O)c1ccc(O)cc1>>CC(O)c1ccc(O)cc1,2
O=CCCC(O)c1cccnc1>>NCCCC(O)c1cccnc1,3
CCCCCCCCCC(=O)CCO>>CCCCCCCCCC(N)CCO,3
COc1cc(CC=O)ccc1O>>COc1cc(CCO)ccc1O,2
CCCCCCCCCC(=O)CCO>>CCCCCCCCCC(O)CCO,2
CC(C)C(=O)CC(=O)O>>CC(C)C(N)CC(=O)O,3
NCC1Cc2ccccc2C1=O>>NCC1Cc2ccccc2C1N,3
CCCC(=O)CC(=O)CCC>>CCCC(=O)CC(N)CCC,3
O=C(O)C(=O)C(=O)O>>O=C(O)C(O)C(=O)O,2
O=CC1c2ccccc2CC1O>>NCC1c2ccccc2CC1O,3
O=C1Nc2ccccc2C1=O>>O=C1Nc2ccccc2C1O,2
CC(C)=CCCC(C)CC=O>>CC(C)=CCCC(C)CCN,3
CCCC(=O)CC(=O)CCC>>CCCC(=O)CC(O)CCC,2
CC(=O)COP(=O)(O)O>>CC(O)COP(=O)(O)O,2
CC(N)CC(=O)C(=O)O>>CC(N)CC(O)C(=O)O,2
CCCC(=O)CC(=O)OCC>>CCCC(N)CC(=O)OCC,3
CCCCCCCCCC(N)CC=O>>CCCCCCCCCC(N)CCO,2
CC/C=C\C/C=C\CC=O>>CC/C=C\C/C=C\CCO,2
COc1ccc(C=O)cc1OC>>COc1ccc(CO)cc1OC,2
CC(=O)c1ccc(O)cc1>>CC(N)c1ccc(O)cc1,3
O=C(O)C(=O)C(=O)O>>NC(C(=O)O)C(=O)O,3
CCCCCCCCCC(O)CC=O>>CCCCCCCCCC(O)CCO,2
O=C(CO)C(O)C(O)CO>>NC(CO)C(O)C(O)CO,3
CN1C2CCC1CC(=O)C2>>CN1C2CCC1CC(O)C2,2
O=C(CO)C(O)C(O)CO>>OCC(O)C(O)C(O)CO,2
NC1c2ccccc2CC1C=O>>NC1c2ccccc2CC1CO,2
